action	guid	original	current
retained-guid	769890c09f9abdf42af40a0e8b1f8ea0	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPLineSpacing.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPLineSpacing.cs
removed-demo	b5b9db77b259a12469a05063c52d1d11	Assets/Feel/MMTools/Demos/MMTween/Fonts/Lato/TTF/Lato-BoldItalic.ttf	
removed-demo	26b6cbb95d0d71c4cb728778641aec2b	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Textures/Tiles44_rgh.png	
retained-guid	8dccaa5e1799e3b48ab214e494816880	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/HDRP/Shakers/MMDepthOfFieldShaker_HDRP.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/HDRP/Shakers/MMDepthOfFieldShaker_HDRP.cs
retained-guid	273f85de13f3ea84a9fe0139daf01c37	Assets/Feel/MMTools/Core/MMExtensions/MMListExtensions.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMExtensions/MMListExtensions.cs
removed-demo	3376c0b6a8c5f4b539dbbf44b0698d59	Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel1.wav	
retained-guid	e980ecbe40d8ec64eb0a87b32fed766e	Assets/Feel/MMFeedbacks/MMFeedbacks/Springs/Core/Components/MMSpringVector2Component.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Springs/Core/Components/MMSpringVector2Component.cs
retained-guid	f2cba57e3c6751145ba55ff4962addea	Assets/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Scale.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Scale.cs
removed-demo	d75374dc42d4c9d4b8f44f6c9453116f	Assets/Feel/FeelDemosHDRP/Falcon/Materials/FeelFalconPaint.mat	
removed-demo	64bf73228f5adf34e99e2654890dc25d	Assets/Feel/FeelDemos/Strike/Lighting/StrikeURPSettings.lighting	
retained-guid	aff4855d499cb7646b344323f4129b58	Assets/Feel/MMTools/Accessories/MMGUI/Sprites/MMTools_GUI_1x1.png	Assets/Art/Textures/Feel/MMTools/Accessories/MMGUI/Sprites/MMTools_GUI_1x1.png
retained-guid	d6480c3a11ef13143b71f9c64c7da64c	Assets/Feel/MMFeedbacks/MMFeedbacks/Sequencing/Scripts/MMSequence.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Sequencing/Scripts/MMSequence.cs
removed-demo	bb27b2715855c43e68e953138ae502c0	Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button3.haptic	
retained-guid	57336066c3d7ff5418ae88b7880aafed	Assets/Feel/MMTools/Accessories/MMDebugMenu/Prefabs/MMDebugMenuTextTiny.prefab	Assets/Art/Prefabs/Feel/MMTools/Accessories/MMDebugMenu/Prefabs/MMDebugMenuTextTiny.prefab
removed-demo	ebdde62f5ecec4656aedd528b468e011	Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad1.wav	
retained-guid	d9dbf313afb206f458581847ac758375	Assets/Feel/MMTools/Core/Editor/MoreMountains.Tools.Editor.asmdef	Assets/Scripts/ThirdParty/Feel/MMTools/Core/Editor/MoreMountains.Tools.Editor.asmdef
removed-demo	5ca7bbd41447b43a0adf826b58700385	Assets/Feel/NiceVibrations/HapticSamples/Music/Snare1.haptic	
removed-demo	aade7dfbbcc2bb749a75c813546d0b48	Assets/Feel/FeelDemos/Barbarians/Models/Materials/Wood.003.mat	
removed-demo	7ea3158ed21ffd042aaf638fc95dd240	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Textures/Tiles31_nrm.png	
removed-demo	201a3f0fd44444e4da86b3ded7f4448f	Assets/Feel/NiceVibrations/Demo/Common/Sprites/NVDottedPattern.png	
removed-demo	0c0726441c6f3904a8204975a152abe7	Assets/Feel/FeelDemos/Strike/Textures/FeelStrikeBall.png	
retained-guid	50fd27fe4d3854042af8178658492f5b	Assets/Feel/MMTools/Core/Editor/MMRadio/MMPropertyReceiverDrawer.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/Editor/MMRadio/MMPropertyReceiverDrawer.cs
retained-guid	eb1b2db13e60f244dae9130e1ea580d0	Assets/Feel/MMFeedbacks/MMFeedbacks/Springs/Core/Components/MMSpringVector3Component.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Springs/Core/Components/MMSpringVector3Component.cs
retained-guid	277be439bdc9329468f9e6d0799d54be	Assets/Feel/MMFeedbacks/MMFeedbacks/Core/MMChannels/ChannelC.asset	Assets/Data/Feedback/Feel/MMFeedbacks/MMFeedbacks/Core/MMChannels/ChannelC.asset
removed-demo	902148089959e4e0094692971d6a817c	Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass3.haptic	
removed-demo	4ed226ca40e001b4da9c290e8530c682	Assets/Feel/FeelDemos/Wheel/Animation/FeelWheelDustAnimation.anim	
