clip,base_time,frame,mode,body_yaw,shoulder_yaw,hands_yaw,hips_x,hips_z
Bow_Attack_A_1_All,0.3,0.15,full,38.133,34.279,-41.472,-0.0691,-0.0776
Bow_Attack_A_1_All,0.3,0.15,masked,26.625,34.279,-41.472,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.15,masked+root,38.133,34.279,-41.472,-0.0532,-0.0697
Bow_Attack_A_1_All,0.3,0.35,full,69.839,65.550,-15.567,-0.0560,-0.0280
Bow_Attack_A_1_All,0.3,0.35,masked,47.926,65.550,-15.567,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.35,masked+root,69.839,65.550,-15.567,-0.0640,-0.0309
Bow_Attack_A_1_All,0.3,0.6,full,81.436,80.143,-6.671,-0.0557,-0.0244
Bow_Attack_A_1_All,0.3,0.6,masked,58.899,80.143,-6.671,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.6,masked+root,81.436,80.143,-6.671,-0.0681,-0.0246
Bow_Attack_A_1_All,0.8,0.15,full,38.133,34.279,-41.472,-0.0691,-0.0776
Bow_Attack_A_1_All,0.8,0.15,masked,26.623,34.279,-41.472,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.15,masked+root,38.133,34.279,-41.472,-0.0551,-0.0716
Bow_Attack_A_1_All,0.8,0.35,full,69.839,65.550,-15.567,-0.0560,-0.0280
Bow_Attack_A_1_All,0.8,0.35,masked,47.936,65.550,-15.567,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.35,masked+root,69.839,65.550,-15.567,-0.0665,-0.0315
Bow_Attack_A_1_All,0.8,0.6,full,81.436,80.143,-6.671,-0.0557,-0.0244
Bow_Attack_A_1_All,0.8,0.6,masked,58.913,80.143,-6.671,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.6,masked+root,81.436,80.143,-6.671,-0.0707,-0.0250
1Hand_Up_Attack_A_1,0.3,0.15,full,93.114,103.885,8.997,-0.0570,-0.0283
1Hand_Up_Attack_A_1,0.3,0.15,masked,75.796,103.885,8.997,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.15,masked+root,93.114,103.885,8.997,-0.0439,-0.0074
1Hand_Up_Attack_A_1,0.3,0.35,full,-179.416,149.518,40.037,0.1137,0.0027
1Hand_Up_Attack_A_1,0.3,0.35,masked,134.747,149.518,40.037,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.35,masked+root,-179.416,149.518,40.037,0.0882,0.0230
1Hand_Up_Attack_A_1,0.3,0.6,full,-60.213,-61.418,178.819,0.0424,-0.0237
1Hand_Up_Attack_A_1,0.3,0.6,masked,-37.354,-61.418,178.819,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.6,masked+root,-60.213,-61.418,178.819,0.0452,-0.0387
1Hand_Up_Attack_A_1,0.8,0.15,full,93.114,103.885,8.997,-0.0570,-0.0283
1Hand_Up_Attack_A_1,0.8,0.15,masked,75.804,103.885,8.997,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.15,masked+root,93.114,103.885,8.997,-0.0463,-0.0082
1Hand_Up_Attack_A_1,0.8,0.35,full,-179.416,149.518,40.037,0.1137,0.0027
1Hand_Up_Attack_A_1,0.8,0.35,masked,134.902,149.518,40.037,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.35,masked+root,-179.416,149.518,40.037,0.0905,0.0244
1Hand_Up_Attack_A_1,0.8,0.6,full,-60.213,-61.418,178.819,0.0424,-0.0237
1Hand_Up_Attack_A_1,0.8,0.6,masked,-37.365,-61.418,178.819,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.6,masked+root,-60.213,-61.418,178.819,0.0474,-0.0402
