clip,base_time,frame,mode,body_yaw,shoulder_yaw,hands_yaw,hips_x,hips_z
Bow_Attack_A_1_All,0.3,0.15,full,38.133,34.279,-41.472,-0.0691,-0.0776
Bow_Attack_A_1_All,0.3,0.15,masked,5.254,1.618,-74.674,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.15,masked+root,38.133,34.279,-41.472,-0.0532,-0.0697
Bow_Attack_A_1_All,0.3,0.35,full,69.839,65.550,-15.567,-0.0560,-0.0280
Bow_Attack_A_1_All,0.3,0.35,masked,6.571,1.962,-79.954,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.35,masked+root,69.839,65.550,-15.567,-0.0640,-0.0309
Bow_Attack_A_1_All,0.3,0.6,full,81.436,80.143,-6.671,-0.0557,-0.0244
Bow_Attack_A_1_All,0.3,0.6,masked,13.035,11.998,-74.250,-0.0035,-0.0329
Bow_Attack_A_1_All,0.3,0.6,masked+root,81.436,80.143,-6.671,-0.0681,-0.0246
Bow_Attack_A_1_All,0.8,0.15,full,38.133,34.279,-41.472,-0.0691,-0.0776
Bow_Attack_A_1_All,0.8,0.15,masked,5.192,1.647,-74.796,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.15,masked+root,38.133,34.279,-41.472,-0.0551,-0.0716
Bow_Attack_A_1_All,0.8,0.35,full,69.839,65.550,-15.567,-0.0560,-0.0280
Bow_Attack_A_1_All,0.8,0.35,masked,6.520,1.931,-80.088,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.35,masked+root,69.839,65.550,-15.567,-0.0665,-0.0315
Bow_Attack_A_1_All,0.8,0.6,full,81.436,80.143,-6.671,-0.0557,-0.0244
Bow_Attack_A_1_All,0.8,0.6,masked,13.034,11.954,-74.195,0.0001,-0.0338
Bow_Attack_A_1_All,0.8,0.6,masked+root,81.436,80.143,-6.671,-0.0707,-0.0250
1Hand_Up_Attack_A_1,0.3,0.15,full,93.114,103.885,8.997,-0.0570,-0.0283
1Hand_Up_Attack_A_1,0.3,0.15,masked,34.616,45.070,-51.909,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.15,masked+root,93.114,103.885,8.997,-0.0439,-0.0074
1Hand_Up_Attack_A_1,0.3,0.35,full,-179.416,149.518,40.037,0.1137,0.0027
1Hand_Up_Attack_A_1,0.3,0.35,masked,-39.262,-57.997,-172.318,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.35,masked+root,-179.416,149.518,40.037,0.0882,0.0230
1Hand_Up_Attack_A_1,0.3,0.6,full,-60.213,-61.418,178.819,0.0424,-0.0237
1Hand_Up_Attack_A_1,0.3,0.6,masked,9.838,7.528,-112.625,-0.0035,-0.0329
1Hand_Up_Attack_A_1,0.3,0.6,masked+root,-60.213,-61.418,178.819,0.0452,-0.0387
1Hand_Up_Attack_A_1,0.8,0.15,full,93.114,103.885,8.997,-0.0570,-0.0283
1Hand_Up_Attack_A_1,0.8,0.15,masked,34.697,45.019,-52.198,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.15,masked+root,93.114,103.885,8.997,-0.0463,-0.0082
1Hand_Up_Attack_A_1,0.8,0.35,full,-179.416,149.518,40.037,0.1137,0.0027
1Hand_Up_Attack_A_1,0.8,0.35,masked,-39.515,-57.758,-172.374,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.35,masked+root,-179.416,149.518,40.037,0.0905,0.0244
1Hand_Up_Attack_A_1,0.8,0.6,full,-60.213,-61.418,178.819,0.0424,-0.0237
1Hand_Up_Attack_A_1,0.8,0.6,masked,9.822,7.502,-112.669,0.0001,-0.0338
1Hand_Up_Attack_A_1,0.8,0.6,masked+root,-60.213,-61.418,178.819,0.0474,-0.0402
